outer,inner,mae_classic,mae_robust1,mae_robust2,rmse_classic,rmse_robust1,rmse_robust2,fval_classic,fval_robust1,fval_robust2,exitflag_classic,exitflag_robust1,exitflag_robust2,time_classic,time_robust1,time_robust2,hyp_classic_1,hyp_classic_2,hyp_classic_3,hyp_classic_4,hyp_classic_5,hyp_classic_6,hyp_classic_7,hyp_classic_8,hyp_classic_9,hyp_classic_10,hyp_classic_11,hyp_robust1_1,hyp_robust1_2,hyp_robust1_3,hyp_robust1_4,hyp_robust1_5,hyp_robust1_6,hyp_robust1_7,hyp_robust1_8,hyp_robust1_9,hyp_robust1_10,hyp_robust1_11,hyp_robust2_1,hyp_robust2_2,hyp_robust2_3,hyp_robust2_4,hyp_robust2_5,hyp_robust2_6,hyp_robust2_7,hyp_robust2_8,hyp_robust2_9,hyp_robust2_10,hyp_robust2_11
3,3,18.9274561370745,11.1693690887943,11.1741549483878,24.3279896102259,14.2061745040628,14.0562669149593,2545.49136833,2444.27164299285,2170.71765937729,5,5,5,13.4758517,4.9247543,1.3458196,2.25364937639268,-0.0152456619839082,0.807376972342005,-0.726793566052177,1.21465802662857,2.92010369410903,-16.0273771680522,2.52157959822415,36.0299763025513,0.793176912156944,-6.88483463037795,1.94933096792527,0.231131408701687,-0.462560462857429,-0.484414389862934,0.0663949607593535,2.92010369410903,-16.0273771680522,2.21726082967785,36.0299763025513,-0.476760528395864,-7.66899520339563,2.15561517353915,-0.0567759953688587,0.803747046764641,-0.728041585254198,0.220620120964703,2.92010369410903,-16.0273771680522,2.42354540048645,36.0299763025513,0.78954698657958,-6.88559350270605
3,4,18.9274561370745,11.1693690887943,11.1741549483878,24.3279896102259,14.2061745040628,14.0562669149593,2545.49136833,2444.27164299285,2170.71765937729,5,5,5,13.9519516,4.2670717,0.9333588,2.25364937639268,-0.0152456619839082,0.807376972342005,-0.726793566052177,1.21465802662857,2.92010369410903,-16.0273771680522,2.52157959822415,36.0299763025513,0.793176912156944,-6.88483463037795,1.94933096792527,0.231131408701687,-0.462560462857429,-0.484414389862934,0.0663949607593535,2.92010369410903,-16.0273771680522,2.21726082967785,36.0299763025513,-0.476760528395864,-7.66899520339563,2.15561517353915,-0.0567759953688587,0.803747046764641,-0.728041585254198,0.220620120964703,2.92010369410903,-16.0273771680522,2.42354540048645,36.0299763025513,0.78954698657958,-6.88559350270605
4,1,6.16305461019987,1.8929617663579,1.89401413365477,7.79618559465065,2.27295416712121,2.27420018807222,3992.05806575004,0.00017518967163949,0.000929413631557872,5,5,5,225.8655527,8.7927032,6.1445269,1.86870106790588,0.295857434107151,1.28390439265267,-1.96425114647366,1.14545670483243,2.6040245333983,-16.0273753320883,2.13663042937829,36.0299763025513,1.26971168573162,-5.65523731381884,1.86849482600913,0.296486184041643,1.28313555708503,-1.9646381111485,1.07031114055981,2.6040245333983,-16.0273753320883,2.13642417527198,36.0299763025513,1.26894285007401,-5.65573683350862,1.86827971851248,0.294676913686168,1.2821299432303,-1.9646394293318,1.07041993994878,2.6040245333983,-16.0273753320883,2.13620907779876,36.0299763025513,1.26793723611478,-5.65599583874859
4,2,6.16305461123571,1.89231505593042,1.89485323354089,7.79618559401652,2.27253243293662,2.278697428579,3992.05806575004,3.28874604574844e-11,0.0010802832930948,5,5,5,57.0225396,13.2663606,3.5641353,1.86870106790588,0.295857434107151,1.28390439265267,-1.96425114647366,1.14545670483243,2.6040245333983,-16.0273753320883,2.13663042937829,36.0299763025513,1.26971168573162,-5.65523731381884,1.868703177265,0.295857490364441,1.28390485878929,-1.96424416193527,1.0702600388967,2.6040245333983,-16.0273753320883,2.1366285938189,36.0299763025513,1.26971218378712,-5.65523664330577,1.86887688441645,0.294910407047757,1.28206342743143,-1.96465818918007,1.07041990174102,2.6040245333983,-16.0273753320883,2.13680624594553,36.0299763025513,1.26787072114539,-5.65602830953987
4,3,6.16305461123571,1.89231505593042,1.89485323354089,7.79618559401652,2.27253243293662,2.278697428579,3992.05806575004,3.28874604574844e-11,0.0010802832930948,5,5,5,54.4083159,11.7609039,3.0269977,1.86870106790588,0.295857434107151,1.28390439265267,-1.96425114647366,1.14545670483243,2.6040245333983,-16.0273753320883,2.13663042937829,36.0299763025513,1.26971168573162,-5.65523731381884,1.868703177265,0.295857490364441,1.28390485878929,-1.96424416193527,1.0702600388967,2.6040245333983,-16.0273753320883,2.1366285938189,36.0299763025513,1.26971218378712,-5.65523664330577,1.86887688441645,0.294910407047757,1.28206342743143,-1.96465818918007,1.07041990174102,2.6040245333983,-16.0273753320883,2.13680624594553,36.0299763025513,1.26787072114539,-5.65602830953987
4,4,6.16305461123571,1.89231505593042,1.89485323354089,7.79618559401652,2.27253243293662,2.278697428579,3992.05806575004,3.28874604574844e-11,0.0010802832930948,5,5,5,51.5415956,16.4510584,4.6396934,1.86870106790588,0.295857434107151,1.28390439265267,-1.96425114647366,1.14545670483243,2.6040245333983,-16.0273753320883,2.13663042937829,36.0299763025513,1.26971168573162,-5.65523731381884,1.868703177265,0.295857490364441,1.28390485878929,-1.96424416193527,1.0702600388967,2.6040245333983,-16.0273753320883,2.1366285938189,36.0299763025513,1.26971218378712,-5.65523664330577,1.86887688441645,0.294910407047757,1.28206342743143,-1.96465818918007,1.07041990174102,2.6040245333983,-16.0273753320883,2.13680624594553,36.0299763025513,1.26787072114539,-5.65602830953987
5,1,8.49079790897536,2.35179188512791,2.35115027497792,10.2211020603109,2.83129365545594,2.83044439069994,4285.94176577183,2.19171470831597e-05,2.93321094320211e-05,5,5,5,270.8238998,5.6448024,8.9597235,1.98182192441873,0.105498177715734,0.862359274549781,-0.667300506172136,0.768843946063387,2.85616988673501,-16.0273752413691,2.24975215090918,36.0299763025513,0.848164252929605,-6.61667906687841,1.98187281720377,0.105587921453314,0.862891869088254,-0.665921215351203,0.876797760195368,2.85616988673501,-16.0273752413691,2.24980301059662,36.0299763025513,0.848696847670106,-6.61491916426863,1.98186315029089,0.105464465635894,0.862792958782797,-0.66595553541622,0.876807830198445,2.85616988673501,-16.0273752413691,2.24979351341685,36.0299763025513,0.848597937354653,-6.61457394156884
5,2,8.49038738711844,2.35095875358825,2.35379204104704,10.2205715831852,2.83042667748014,2.83386121497826,4285.94176552183,7.53707986713976e-11,9.86017483942898e-05,5,5,5,72.2267473,10.7948006,8.7001303,1.98180053295501,0.105321229345835,0.862363278780459,-0.667303871419181,0.768840230597099,2.85616994093154,-16.0273752413451,2.24973201708425,36.0299763025513,0.848168257160283,-6.61677171620464,1.98180115533099,0.105321196711194,0.862364735003208,-0.667302261163646,0.876835256311681,2.85616994093154,-16.0273752413451,2.24973177818595,36.0299763025513,0.848169713341039,-6.61676841234582,1.9820393409409,0.105061095534664,0.863686928619992,-0.665627172841755,0.876766466934793,2.85616994093154,-16.0273752413451,2.24997079768402,36.0299763025513,0.849491906980648,-6.61544149320045
5,3,8.49059081624593,2.35114035564912,2.35483163600743,10.2208710283018,2.83068721288636,2.83479139560213,4285.94176449278,3.91916080286597e-11,0.000177141712854148,5,5,5,72.07254,13.3155582,8.6605701,1.98174423048576,0.105379255549809,0.862334898967063,-0.66733410033702,0.768849288810184,2.85617149105053,-16.0273753425281,2.24967449634618,36.0299763025513,0.848139877346887,-6.61712473413722,1.98181751473402,0.105379561162878,0.862335536456405,-0.66733297798111,0.876840468052211,2.85617149105053,-16.0273753425281,2.24960130849408,36.0299763025513,0.848140514756926,-6.61712390864818,1.98196956078721,0.104845277324516,0.864139397874089,-0.665850751744601,0.876760855007917,2.85617149105053,-16.0273753425281,2.24992179857311,36.0299763025513,0.849944376139972,-6.61571169483832
5,4,8.49077580214139,2.35148600848756,2.35612339296723,10.2210943254003,2.83101609521794,2.8361957404504,4285.94176446401,1.29967919597936e-05,0.00092557982869228,5,5,5,94.6538599,11.6651947,6.5838146,1.98174423723421,0.10537198021663,0.862331590206843,-0.667335068045026,0.768837222460321,2.85617048311966,-16.0273753425281,2.24967457709163,36.0299763025513,0.848136568586668,-6.61711585380247,1.98180674478122,0.105460984731083,0.86267426155378,-0.666656073979276,0.876805427558266,2.85617048311966,-16.0273753425281,2.24971834155727,36.0299763025513,0.848479239914278,-6.61543656574007,1.9816151042947,0.106965457858755,0.865053223331172,-0.666101141802457,0.876694200690662,2.85617048311966,-16.0273753425281,2.24954544100788,36.0299763025513,0.850858201775372,-6.61625043648876
