outer,inner,mae_classic,mae_robust1,mae_robust2,fval_classic,fval_robust1,fval_robust2,exitflag_classic,exitflag_robust1,exitflag_robust2,time_classic,time_robust1,time_robust2
4,1,6.16377484089912,1.89305554168206,1.89420926825333,3992.05803939484,0.000121601028236936,0.000854840738988501,5,5,5,275.2542379,8.3313196,5.5846939
4,2,6.16377468518154,1.89308065260915,1.89446318610018,3992.05803939792,0.000118233789466737,0.000806881912736278,5,5,5,52.071458,7.9486325,6.9700986
4,3,6.16176362493738,1.89292000819008,1.8990448283544,3992.05803820735,0.000111768855486746,0.00857779746369531,5,5,5,46.1835271,7.633526,4.6397994
4,4,6.16172207722142,1.89297459753467,1.89430480630456,3992.05803665025,0.000120993869343954,0.000831453792598107,5,5,5,147.0958775,6.9527564,6.6127632
5,1,8.49332077084079,2.35243247436058,2.35667382176554,4285.94176559171,2.19030852810597e-05,0.000916112217111988,5,5,5,212.6483016,5.7877649,7.6769361
5,2,8.49379135233083,2.35240957698974,2.35644738808842,4285.94176498706,2.20085045809745e-05,0.000923493495599192,5,5,5,63.7049096,6.0726159,7.0182973
5,3,8.49377984652986,2.35151511122683,2.35635272849329,4285.94176498582,7.53652287060634e-11,0.000929371004383904,5,5,5,55.4105191,8.5348223,8.953764
5,4,8.49377983907995,2.35151511197341,2.3566688333756,4285.94176498582,7.52970099313885e-11,0.000925807775146793,5,5,5,38.8195503,9.4980029,4.6321969
6,1,3.09986122058888,2.41946347649024,2.41928042318796,4522.80680326975,9.05632221862263,6.02660840283711,5,5,5,219.6322189,4.080919,4.4337864
6,2,3.05141249595592,2.4033472202256,2.41396981259991,4522.80346545022,7.02760876718569,5.91582219405005,5,5,5,89.7302353,6.4827657,3.7147138
6,3,3.05141249530345,2.3992935407645,2.4139019571336,4522.80346545022,7.02497402588747,5.92258385299121,5,5,5,38.3905805,6.596742,4.5503253
6,4,3.05141249530345,2.3992935407645,2.4139019571336,4522.80346545022,7.02497402588747,5.92258385299121,5,5,5,41.9608034,5.7739907,4.4367887
7,1,1.60976393319195,1.32496954741206,1.32455299672083,3618.11323245944,5.82777303844063e-11,9.16397084442735e-05,5,5,5,187.7656311,5.6644471,3.8717024
7,2,1.60805763898938,1.32365773979201,1.32256185747212,3618.11310595992,7.41717731819993e-11,7.78792590383132e-05,5,5,5,52.6884841,4.2687775,2.6705019
7,3,1.60763749192881,1.32215753117555,1.32165908158889,3618.11309905382,0.000134378625141255,8.60305756662093e-05,5,5,5,201.4753073,2.5579784,2.6415064
7,4,1.60794499748328,1.32218849698896,1.32250319186164,3618.11309738819,0.000134721638835624,9.39006991017673e-05,5,5,5,79.4044826,2.2101465,2.3471184
8,1,3.12382872524637,1.29541422755113,1.30135766727485,3499.84490705053,0.00940012981717523,0.00061852193921795,5,5,5,161.3984611,4.8823321,9.0101071
8,2,3.13543367013632,1.30682096420262,1.3058338778866,3499.84458796141,0.000273536754345428,0.00188193569188041,5,0,5,62.611677,13.9799067,8.0684085
8,3,3.13576376294456,1.30021507288585,1.30146563055371,3499.84457916518,0.00839172373473475,0.00414792105599689,5,5,5,52.9486654,3.2242745,5.9138487
8,4,3.13442338361079,1.30702916399753,1.30252786180939,3499.84455007374,0.000665365612469622,0.00712104768214225,5,5,5,164.0331076,16.6026449,8.9431044
9,1,2.1237622614105,2.10795360604047,2.10812793692959,4654.09843033262,0.000296414534767507,0.000189949869148046,5,5,5,417.6712032,10.5148133,13.0096148
9,2,2.12376179685765,2.10844515298404,2.10803484208612,4654.09843033262,0.000356772556085732,0.000200104097614769,5,5,5,43.1242202,6.6929476,8.7745029
9,3,2.12376179685765,2.10844515298404,2.10803484208612,4654.09843033262,0.000356772556085732,0.000200104097614769,5,5,5,76.0200927,7.4165524,8.9920859
9,4,2.12376179685765,2.10844515298404,2.10803484208612,4654.09843033262,0.000356772556085732,0.000200104097614769,5,5,5,71.216557,6.9708645,9.0209024
10,1,4.67987207999371,1.91225152463494,1.91282360029004,6041.63766437377,0.00031721501745778,0.000271830432455296,5,5,5,519.3989948,5.4914113,7.0365364
10,2,4.67719729100082,1.91007752813814,1.91022719096278,6041.63766407349,2.33758548780827e-05,4.81867571770703e-05,5,5,5,125.1872302,5.6795069,12.2614647
10,3,4.67660573450352,1.9093958202731,1.91014169931767,6041.63766403563,1.40348809149724e-12,0.000122347214886182,5,5,5,81.482831,11.1230751,8.577587
10,4,4.67609504839655,1.90985889576293,1.91086115421754,6041.6376640316,1.88078601923536e-05,0.000126492362525618,5,5,5,69.6388893,7.2683734,6.4664807
11,1,8.07715611722083,3.44491987655623,3.44591585471486,2314.20295552442,4.98432360115914e-05,0.00148207260551812,5,5,5,39.1339313,4.9584851,3.1906489
11,2,8.07715611636778,3.44809210293447,3.44591428954835,2314.20295552442,0.00100689632631728,0.00148102770670835,5,5,5,14.2280034,4.7005663,2.8161277
