scenario,m,a,run,model,delta_base,delta_eff,MAE,RMSE
"m=2,a=0.1",2,0.1,40,robust_d_medium,0.35,0.7,0.583742073549696,0.827147464176383
"m=2,a=0.1",2,0.1,40,robust_d_big,1.5,3,0.587838783658984,0.833428029201744
"m=2,a=0.1",2,0.1,40,robust_d_auto,NaN,1.40424645048502,0.592109138918593,0.841734634662511
"m=2,a=0.1",2,0.1,41,classic,NaN,NaN,0.598223513119739,0.71801699461448
"m=2,a=0.1",2,0.1,41,robust_d_small,0.05,0.1,0.5412466422193,0.68143050269382
"m=2,a=0.1",2,0.1,41,robust_d_medium,0.35,0.7,0.548015863750889,0.673264106971541
"m=2,a=0.1",2,0.1,41,robust_d_big,1.5,3,0.546946275997657,0.664554726813522
"m=2,a=0.1",2,0.1,41,robust_d_auto,NaN,1.69348453864842,0.534464173764158,0.674337466003692
"m=2,a=0.1",2,0.1,42,classic,NaN,NaN,0.638509512077594,0.784483191553581
"m=2,a=0.1",2,0.1,42,robust_d_small,0.05,0.1,0.663543886744147,0.866480617407642
"m=2,a=0.1",2,0.1,42,robust_d_medium,0.35,0.7,0.644162730500154,0.810424635152745
"m=2,a=0.1",2,0.1,42,robust_d_big,1.5,3,0.757453261895438,0.979999194416051
"m=2,a=0.1",2,0.1,42,robust_d_auto,NaN,4.21035910695552,0.942505655429535,1.26566635218726
"m=2,a=0.1",2,0.1,43,classic,NaN,NaN,0.574527076538933,0.678900263129644
"m=2,a=0.1",2,0.1,43,robust_d_small,0.05,0.1,0.618343519928448,0.744516575971109
"m=2,a=0.1",2,0.1,43,robust_d_medium,0.35,0.7,0.614330002970133,0.735394116306869
"m=2,a=0.1",2,0.1,43,robust_d_big,1.5,3,0.606374616765299,0.722509745598599
"m=2,a=0.1",2,0.1,43,robust_d_auto,NaN,1.79108777516509,0.607648808780251,0.723793241594235
"m=2,a=0.1",2,0.1,44,classic,NaN,NaN,0.52030804574295,0.643744071809196
"m=2,a=0.1",2,0.1,44,robust_d_small,0.05,0.1,0.588771336837598,0.70620693956113
"m=2,a=0.1",2,0.1,44,robust_d_medium,0.35,0.7,0.589430697413729,0.708034013932937
